token_idx,layer_id,expert_id,source
2,31,233,SSD
2,31,196,SSD
2,31,33,RAM
2,32,75,RAM
2,32,96,RAM
2,32,116,RAM
2,32,101,RAM
2,32,151,RAM
2,32,18,RAM
2,32,42,RAM
2,32,19,SSD
2,33,49,RAM
2,33,11,RAM
2,33,81,RAM
2,33,74,RAM
2,33,253,RAM
2,33,182,RAM
2,33,136,SSD
2,33,58,RAM
2,34,205,RAM
2,34,196,RAM
2,34,63,RAM
2,34,180,RAM
2,34,101,RAM
2,34,247,RAM
2,34,181,RAM
2,34,19,SSD
2,35,153,RAM
2,35,167,RAM
2,35,132,RAM
2,35,97,RAM
2,35,253,RAM
2,35,14,RAM
2,35,165,RAM
2,35,89,RAM
2,36,158,RAM
2,36,8,SSD
2,36,118,RAM
2,36,0,RAM
2,36,28,RAM
2,36,203,RAM
2,36,50,RAM
2,36,155,SSD
2,37,64,RAM
2,37,58,RAM
2,37,145,RAM
2,37,89,RAM
2,37,75,RAM
2,37,103,RAM
2,37,21,RAM
2,37,11,SSD
2,38,92,RAM
2,38,94,RAM
2,38,127,RAM
2,38,128,RAM
2,38,22,RAM
2,38,59,RAM
2,38,209,RAM
2,38,205,SSD
2,39,189,RAM
2,39,2,RAM
2,39,16,RAM
2,39,9,RAM
2,39,213,RAM
2,39,70,RAM
2,39,146,RAM
2,39,89,RAM
3,0,222,SSD
3,0,163,SSD
3,0,208,SSD
3,0,75,SSD
3,0,211,SSD
3,0,81,SSD
3,0,231,SSD
3,0,70,SSD
3,1,75,SSD
3,1,153,SSD
3,1,59,SSD
3,1,64,SSD
3,1,114,SSD
3,1,11,RAM
3,1,167,RAM
3,1,132,SSD
3,2,158,RAM
3,2,223,SSD
3,2,216,SSD
3,2,58,SSD
3,2,89,SSD
3,2,71,SSD
3,2,254,SSD
3,2,42,SSD
3,3,243,SSD
3,3,36,SSD
3,3,163,SSD
3,3,56,SSD
3,3,228,SSD
3,3,167,SSD
3,3,94,SSD
3,3,16,SSD
3,4,175,SSD
