token_idx,layer_id,event,vram_mb,ram_mb
1,17,Before Layer 17,5463.126953125,9043.66796875
1,17,After Layer 17,5463.1513671875,9044.26953125
1,18,Before Layer 18,5463.126953125,9044.26953125
1,18,After Layer 18,5463.416015625,9044.7578125
1,19,Before Layer 19,5463.3916015625,9044.7578125
1,19,After Layer 19,5463.41796875,9049.12890625
1,20,Before Layer 20,5463.3935546875,9049.12890625
1,20,After Layer 20,5463.41796875,9049.625
1,21,Before Layer 21,5463.3935546875,9049.625
1,21,After Layer 21,5463.41796875,9053.23046875
1,22,Before Layer 22,5463.3935546875,9053.23046875
1,22,After Layer 22,5463.41796875,9057.37109375
1,23,Before Layer 23,5463.3935546875,9057.37109375
1,23,After Layer 23,5463.419921875,9060.65234375
1,24,Before Layer 24,5463.3955078125,9060.65234375
1,24,After Layer 24,5463.419921875,9064.01171875
1,25,Before Layer 25,5463.3955078125,9064.01171875
1,25,After Layer 25,5463.419921875,9064.37890625
1,26,Before Layer 26,5463.3955078125,9064.37890625
1,26,After Layer 26,5463.419921875,9064.7734375
1,27,Before Layer 27,5463.3955078125,9064.7734375
1,27,After Layer 27,5463.421875,9068.25
1,28,Before Layer 28,5463.3974609375,9068.25
1,28,After Layer 28,5463.421875,9068.4765625
1,29,Before Layer 29,5463.3974609375,9068.4765625
1,29,After Layer 29,5463.421875,9071.80859375
1,30,Before Layer 30,5463.3974609375,9071.80859375
1,30,After Layer 30,5463.421875,9072.296875
1,31,Before Layer 31,5463.3974609375,9072.296875
1,31,After Layer 31,5463.423828125,9073.1953125
1,32,Before Layer 32,5463.3994140625,9073.1953125
1,32,After Layer 32,5463.423828125,9083.01953125
1,33,Before Layer 33,5463.3994140625,9083.01953125
1,33,After Layer 33,5463.423828125,9086.109375
1,34,Before Layer 34,5463.3994140625,9086.109375
1,34,After Layer 34,5463.1591796875,9092.36328125
1,35,Before Layer 35,5463.134765625,9092.36328125
1,35,After Layer 35,5463.42578125,9092.6171875
1,36,Before Layer 36,5463.4013671875,9092.6171875
1,36,After Layer 36,5463.42578125,9092.6328125
1,37,Before Layer 37,5463.4013671875,9092.6328125
1,37,After Layer 37,5463.42578125,9092.6640625
1,38,Before Layer 38,5463.4013671875,9092.6640625
1,38,After Layer 38,5463.42578125,9095.7890625
1,39,Before Layer 39,5463.4013671875,9095.7890625
1,39,After Layer 39,5463.427734375,9101.41796875
2,0,Before Layer 0,5450.1416015625,9043.00390625
2,0,After Layer 0,5450.166015625,9037.31640625
2,1,Before Layer 1,5450.1416015625,9037.3203125
2,1,After Layer 1,5450.166015625,9045.97265625
2,2,Before Layer 2,5450.1416015625,9045.97265625
2,2,After Layer 2,5450.166015625,9055.2421875
2,3,Before Layer 3,5450.1416015625,9055.24609375
2,3,After Layer 3,5450.16796875,9067.828125
2,4,Before Layer 4,5450.1435546875,9067.828125
2,4,After Layer 4,5450.16796875,9072.19140625
2,5,Before Layer 5,5450.1435546875,9072.19140625
2,5,After Layer 5,5450.16796875,9075.46875
2,6,Before Layer 6,5450.1435546875,9075.46875
2,6,After Layer 6,5450.16796875,9036.109375
2,7,Before Layer 7,5450.1435546875,9034.953125
2,7,After Layer 7,5450.169921875,9008.76171875
2,8,Before Layer 8,5450.1455078125,9008.76171875
2,8,After Layer 8,5450.169921875,9010.7421875
2,9,Before Layer 9,5450.1455078125,9010.7421875
2,9,After Layer 9,5450.169921875,9012.67578125
2,10,Before Layer 10,5450.1455078125,9012.6796875
2,10,After Layer 10,5450.169921875,9020.859375
2,11,Before Layer 11,5450.1455078125,9020.859375
2,11,After Layer 11,5449.9072265625,9025.703125
2,12,Before Layer 12,5449.8828125,9025.703125
2,12,After Layer 12,5449.9072265625,9030.13671875
2,13,Before Layer 13,5449.8828125,9030.13671875
2,13,After Layer 13,5449.9072265625,9041.44921875
2,14,Before Layer 14,5449.8828125,9041.44921875
2,14,After Layer 14,5449.9072265625,9051.93359375
2,15,Before Layer 15,5449.8828125,9051.93359375
2,15,After Layer 15,5449.9091796875,9063.05859375
2,16,Before Layer 16,5449.884765625,9063.05859375
2,16,After Layer 16,5449.9091796875,9066.078125
2,17,Before Layer 17,5449.884765625,9066.078125
2,17,After Layer 17,5449.9091796875,9069.23046875
2,18,Before Layer 18,5449.884765625,9069.234375
2,18,After Layer 18,5449.9091796875,9069.6875
2,19,Before Layer 19,5449.884765625,9069.6875
2,19,After Layer 19,5449.9111328125,9073.15625
2,20,Before Layer 20,5449.88671875,9073.16015625
2,20,After Layer 20,5449.9111328125,9073.2109375
2,21,Before Layer 21,5449.88671875,9073.21875
2,21,After Layer 21,5449.9111328125,9079.79296875
2,22,Before Layer 22,5449.88671875,9079.8046875
2,22,After Layer 22,5449.9111328125,9080.0625
2,23,Before Layer 23,5449.88671875,9080.0625
2,23,After Layer 23,5449.9130859375,9080.09375
2,24,Before Layer 24,5449.888671875,9080.09375
2,24,After Layer 24,5449.9130859375,9085.625
2,25,Before Layer 25,5449.888671875,9085.625
2,25,After Layer 25,5449.9130859375,9093.828125
2,26,Before Layer 26,5449.888671875,9093.828125
2,26,After Layer 26,5449.9130859375,9096.9453125
2,27,Before Layer 27,5449.888671875,9096.9453125
2,27,After Layer 27,5449.9150390625,9099.765625
2,28,Before Layer 28,5449.890625,9099.69921875
2,28,After Layer 28,5449.9150390625,9058.1484375
2,29,Before Layer 29,5449.890625,9057.09765625
2,29,After Layer 29,5449.9150390625,9038.3984375
2,30,Before Layer 30,5449.890625,9038.40234375
2,30,After Layer 30,5449.9150390625,9038.52734375
2,31,Before Layer 31,5449.890625,9038.53125
2,31,After Layer 31,5449.9169921875,9047.953125
2,32,Before Layer 32,5449.892578125,9047.96875
2,32,After Layer 32,5449.9169921875,9051.71875
2,33,Before Layer 33,5449.892578125,9051.734375
2,33,After Layer 33,5449.9169921875,9054.953125
2,34,Before Layer 34,5449.892578125,9054.9609375
2,34,After Layer 34,5449.9169921875,9058.0859375
2,35,Before Layer 35,5449.892578125,9058.0859375
2,35,After Layer 35,5449.9189453125,9058.2265625
2,36,Before Layer 36,5449.89453125,9058.2265625
2,36,After Layer 36,5449.9189453125,9064.48828125
2,37,Before Layer 37,5449.89453125,9064.48828125
2,37,After Layer 37,5449.9189453125,9067.37109375
2,38,Before Layer 38,5449.89453125,9067.37109375
2,38,After Layer 38,5449.9189453125,9070.50390625
2,39,Before Layer 39,5449.89453125,9070.50390625
2,39,After Layer 39,5449.9208984375,9070.5234375
3,0,Before Layer 0,5449.896484375,9070.61328125
3,0,After Layer 0,5449.9208984375,9092.10546875
3,1,Before Layer 1,5449.896484375,9092.10546875
3,1,After Layer 1,5449.9208984375,9103.046875
3,2,Before Layer 2,5449.896484375,9103.046875
3,2,After Layer 2,5449.9208984375,9059.9296875
3,3,Before Layer 3,5449.896484375,9059.10546875
3,3,After Layer 3,5449.9228515625,9059.96484375
3,4,Before Layer 4,5449.8984375,9059.97265625
3,4,After Layer 4,5449.9228515625,9077.2421875
3,5,Before Layer 5,5449.8984375,9077.2421875
3,5,After Layer 5,5449.9228515625,9089.4765625
3,6,Before Layer 6,5449.8984375,9089.4765625
3,6,After Layer 6,5449.9228515625,9095.85546875
3,7,Before Layer 7,5449.8984375,9095.85546875
3,7,After Layer 7,5449.9248046875,9104.40234375
3,8,Before Layer 8,5449.900390625,9104.40234375
3,8,After Layer 8,5449.9248046875,9106.203125
3,9,Before Layer 9,5449.900390625,9106.203125
3,9,After Layer 9,5449.9248046875,9110.32421875
3,10,Before Layer 10,5449.900390625,9110.32421875
3,10,After Layer 10,5449.9248046875,9112.23046875
3,11,Before Layer 11,5449.900390625,9112.234375
3,11,After Layer 11,5449.9267578125,9114.65234375
3,12,Before Layer 12,5449.90234375,9114.6328125
3,12,After Layer 12,5449.9267578125,9119.69140625
3,13,Before Layer 13,5449.90234375,9119.66796875
3,13,After Layer 13,5449.9267578125,9122.078125
3,14,Before Layer 14,5449.90234375,9122.05859375
3,14,After Layer 14,5449.9267578125,9123.76953125
3,15,Before Layer 15,5449.90234375,9123.75390625
3,15,After Layer 15,5449.9287109375,9126.31640625
3,16,Before Layer 16,5449.904296875,9126.265625
3,16,After Layer 16,5449.9287109375,9128.4140625
3,17,Before Layer 17,5449.904296875,9128.3984375
3,17,After Layer 17,5449.9287109375,9126.3203125
3,18,Before Layer 18,5449.904296875,9126.3125
3,18,After Layer 18,5449.9287109375,9125.640625
3,19,Before Layer 19,5449.904296875,9125.62109375
3,19,After Layer 19,5449.9306640625,9124.2734375
3,20,Before Layer 20,5449.90625,9124.2578125
3,20,After Layer 20,5449.9306640625,9122.796875
3,21,Before Layer 21,5449.90625,9122.7734375
3,21,After Layer 21,5449.9306640625,9121.11328125
3,22,Before Layer 22,5449.90625,9121.09765625
3,22,After Layer 22,5449.9306640625,9120.05859375
3,23,Before Layer 23,5449.90625,9120.03515625
3,23,After Layer 23,5449.9326171875,9119.0234375
3,24,Before Layer 24,5449.908203125,9119.00390625
3,24,After Layer 24,5449.9326171875,9119.3046875
3,25,Before Layer 25,5449.908203125,9119.28125
3,25,After Layer 25,5449.9326171875,9118.43359375
3,26,Before Layer 26,5449.908203125,9118.4140625
3,26,After Layer 26,5449.9326171875,9120.73828125
3,27,Before Layer 27,5449.908203125,9120.72265625
3,27,After Layer 27,5449.9345703125,9120.66796875
3,28,Before Layer 28,5449.91015625,9120.66015625
3,28,After Layer 28,5449.9345703125,9117.765625
3,29,Before Layer 29,5449.91015625,9117.76171875
3,29,After Layer 29,5449.9345703125,9116.5078125
3,30,Before Layer 30,5449.91015625,9116.3984375
3,30,After Layer 30,5449.9345703125,9114.72265625
3,31,Before Layer 31,5449.91015625,9114.703125
3,31,After Layer 31,5449.9365234375,9113.796875
3,32,Before Layer 32,5449.912109375,9113.72265625
