expert_id,activation_count,tokens_routed,load_count,execution_time_sec,avg_batch_size,max_batch_size,cache_hits,cache_misses
108,149,2730,0,0.06175629498466151,18.322147651006713,156,0,0
109,109,1563,0,0.04425953209283762,14.339449541284404,125,0,0
110,123,1778,0,0.05064805993606569,14.455284552845528,169,0,0
111,96,1658,0,0.0377349020272959,17.270833333333332,128,0,0
112,138,3167,0,0.0569795910269022,22.94927536231884,257,0,0
113,107,1133,0,0.043226862042502034,10.588785046728972,134,0,0
114,112,793,0,0.04462354496354237,7.080357142857143,74,0,0
115,106,1632,0,0.04330873506114585,15.39622641509434,179,0,0
116,152,2773,0,0.061623329973372165,18.24342105263158,115,0,0
117,147,1939,0,0.05929465501685627,13.19047619047619,98,0,0
118,91,472,0,0.0363951639883453,5.186813186813187,47,0,0
119,94,1130,0,0.037322766991565004,12.02127659574468,102,0,0
120,101,2107,0,0.04445336001663236,20.861386138613863,211,0,0
121,111,1663,0,0.044802168013120536,14.981981981981981,154,0,0
122,115,1319,0,0.04690523302269867,11.469565217391304,135,0,0
123,115,1535,0,0.04579675701825181,13.347826086956522,157,0,0
124,140,1933,0,0.05497142103558872,13.807142857142857,100,0,0
125,112,2608,0,0.04590184403787134,23.285714285714285,112,0,0
126,117,1746,0,0.046836876987072174,14.923076923076923,119,0,0
127,134,3463,0,0.05475320896221092,25.84328358208955,388,0,0
128,124,1748,0,0.05000389904307667,14.096774193548388,139,0,0
129,125,1660,0,0.04993098490376724,13.28,114,0,0
130,122,3000,0,0.049517721992742736,24.59016393442623,292,0,0
131,79,405,0,0.03081365700927563,5.1265822784810124,30,0,0
132,135,1875,0,0.0530969299870776,13.88888888888889,98,0,0
133,107,1324,0,0.04246280501683941,12.373831775700934,84,0,0
134,137,3445,0,0.056272433983394876,25.145985401459853,239,0,0
135,115,1095,0,0.04491659802442882,9.521739130434783,75,0,0
136,86,783,0,0.03333705502882367,9.104651162790697,44,0,0
137,135,2654,0,0.054113853999297135,19.659259259259258,199,0,0
138,122,2224,0,0.04961281902069459,18.229508196721312,236,0,0
139,102,1516,0,0.04097340902808355,14.862745098039216,95,0,0
