layer_id,Embedding,Attention,Linear Attention,Router,Weight Loading,Dispatch Table,Gather,FP8 Dequant,Expert Compute,Scatter,Shared Expert,Merge,GPU Free,Final RMSNorm,LM Head
20,0.0,0.0,0.5058524439982648,0.0035050520000368124,4.055984942999203,0.0020219660009388463,0.11631149301774713,0.45132078801452735,0.1265999930228645,0.0343249530014873,0.05513718399834033,0.0004823669978577527,0.09172080099961022,0.0,0.0,6.2360265990510015
21,0.0,0.0,0.5041911009984688,0.003372927996679209,3.6335603429988623,0.001923350999277318,0.11654021997037489,0.45770727999752125,0.1271277919977365,0.03414793299543817,0.05066287400222791,0.00047858299967629137,0.09107458699782,0.0,0.0,5.820460729955812
22,0.0,0.0,0.5282001470013711,0.0035846239998136298,3.6141616570021142,0.00210864800192212,0.11007727801461442,0.42961805504819495,0.11929968300592009,0.03239101399049105,0.0697379909997835,0.000492062001285376,0.09340125300150248,0.0,0.0,5.75527961206717
23,0.0,0.4681074739992255,0.0,0.0033000989988067886,8.893975295000928,0.0020970419973309617,0.11472678697009542,0.44508591902012995,0.1251396579964421,0.03398804799053323,0.07075202200030617,0.0004804230011359323,0.08808700000008685,0.0,0.0,11.028038783974807
24,0.0,0.0,0.5443030570013434,0.0037649460009561153,5.220861407000484,0.0024798389995339676,0.11288502797196998,0.43028874899664515,0.12199574000715074,0.03526554202835541,0.06955504600318818,0.0005463459974635043,0.12002717799714446,0.0,0.0,7.424846330004584
25,0.0,0.0,0.5559577659996648,0.004005253002105746,4.425711879996015,0.0021514109994313912,0.11510144998737815,0.43976959198334953,0.12356364301012945,0.0359921210383618,0.0627017180013354,0.0004802590010513086,0.09401795000030688,0.0,0.0,6.637166063020231
26,0.0,0.0,0.5955816809982935,0.0034935159974338603,3.807657720001771,0.0019311529995320598,0.10910344202056876,0.4206496220158442,0.1172558200023559,0.03229550900050526,0.05972737800038885,0.0004740939994007931,0.09092847099964274,0.0,0.0,5.9783602450334
27,0.0,0.40555040599883796,0.0,0.0032796380010040593,4.184421478998047,0.002043370998762839,0.11226360301498062,0.43507442602913216,0.12164972600930923,0.033203512994077755,0.05932369400125026,0.00047704699773021275,0.09132427199892845,0.0,0.0,6.212715210042006
28,0.0,0.0,0.5494959449997623,0.003352865999659116,3.572708813997451,0.0020033970022268477,0.11161930698835931,0.4348447979937191,0.12162726602582552,0.03331918296953518,0.05932790800125076,0.0004920159999528551,0.09102482900016184,0.0,0.0,5.742797850976785
29,0.0,0.0,0.5383128420007779,0.0035383769982217927,3.719025014002,0.002176318999772775,0.11338878801325336,0.4390631770065738,0.12217931598024734,0.033367477011779556,0.062492844002008496,0.0004801699988092878,0.09330208900064463,0.0,0.0,5.897585419014831
